NAME;COUNTRY_ISO_CODE;NACE2_CORE_CODE;CONSOLIDATION_CODE;YEAR_LAST_ACCOUNTS;BVD_ID_NUMBER;ORBISID;BVD_SECTOR_CORE_LABEL;NACE2_CORE_LABEL;INDUSTRY_PRIMARY_LABEL;WORLD_REGION;TOAS_2022;TOAS_2021;TOAS_2020;TOAS_2019;TOAS_2018;TOAS_2017;OPRE_2022;OPRE_2021;OPRE_2020;OPRE_2019;OPRE_2018;OPRE_2017;COST_2022;COST_2021;COST_2020;COST_2019;COST_2018;COST_2017;EMPL_2022;EMPL_2021;EMPL_2020;EMPL_2019;EMPL_2018;EMPL_2017
CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED;CN;4299;C1;2022;CN32115PC;048957794;Construction;Construction of other civil engineering projects nec;Heavy construction, not elsewhere classified;Far East and Central Asia;2.652.903.306;2.388.249.126;2.192.379.494;2.034.451.929;1.861.840.298;1.550.983.306;2.044.405.674;1.877.327.757;1.599.767.428;1.402.918.573;1.183.521.820;1.040.273.015;1.825.569.706;1.667.421.009;1.430.106.749;1.251.273.793;1.047.475.240;935.112.666;382.492;368.327;356.506;335.038;302.827;270.467
SAMSUNG ELECTRONICS CO.,LTD;KR;2630;U2;2022;KR1301110006246;006529401;Communications;Manufacture of communication equipment;Manufacture of mobile phone;Far East and Central Asia;260.083.750.000;251.112.184.000;229.664.427.000;216.180.920.000;219.021.357.000;198.241.360.000;211.867.483.000;199.744.705.000;166.311.191.000;154.772.859.000;170.381.870.000;161.915.007.000;152.589.393.000;135.823.433.000;116.753.419.000;113.618.444.000;101.666.506.000;101.399.657.000;121.000;113.078;109.074;104.833;102.581;99.333
CHINA MOBILE LIMITED;HK;6190;C1;2022;HK30210FH;006532609;Communications;Other telecommunications activities;Telephone communications, except radiotelephone;Far East and Central Asia;1.935.538.000;1.806.027.000;1.727.882.000;1.629.240.000;1.535.910.000;1.522.113.000;948.245.000;851.903.000;776.566.000;755.441.000;744.167.000;742.903.000;122.743.000;339.123.000;73.100.000;72.565.000;66.231.000;73.668.000;450.698;449.934;454.332;456.239;459.152;464.656
XIAMEN C&D INC.;CN;4649;C1;2022;CN30752PC;074084030;Wholesale;Wholesale of other household goods;Durable goods, not elsewhere classified wholesale dealing in;Far East and Central Asia;664.754.429;602.459.132;387.156.816;298.219.440;217.453.940;175.430.358;831.851.194;707.417.081;430.516.036;335.262.531;277.035.147;216.689.929;798.898.309;680.628.957;408.839.181;314.628.468;257.138.414;203.881.763;32.847;26.761;20.895;18.361;17.071;14.309
SAIC MOTOR CORPORATION LIMITED;CN;2932;C1;2022;CN30087PC;048958183;Transport Manufacturing;Manufacture of other parts and accessories for motor vehicles;Motor vehicle parts and accessories;Far East and Central Asia;990.107.381;916.922.696;919.414.756;849.333.279;782.769.850;723.533.131;742.421.549;778.158.226;738.971.863;841.122.625;898.369.187;864.820.265;623.367.464;660.698.173;622.816.089;694.750.533;740.289.131;716.106.609;215.999;15.059;204.815;216.360;217.511;180.749
METALLURGICAL CORPORATION OF CHINA LTD.;CN;4120;C1;2022;CN31992PC;149018953;Construction;Construction of residential and non-residential buildings;General contractors-single-family houses;Far East and Central Asia;585.384.390;543.470.147;506.392.963;458.506.213;438.915.843;414.565.174;591.231.525;498.484.127;398.598.363;336.983.182;287.498.008;242.190.192;530.652.518;442.931.354;350.736.257;295.471.763;249.037.946;208.457.111;98.385;97.972;101.020;98.566;96.646;97.771
XIAMEN XIANGYU CO., LTD.;CN;2630;C1;2022;CN30650PC;037440925;Communications;Manufacture of communication equipment;Telephone and telegraph apparatus;Far East and Central Asia;115.056.409;95.834.221;87.364.660;65.732.458;54.722.265;45.556.028;537.984.914;462.315.684;360.069.412;272.381.863;233.970.246;203.248.690;525.083.081;450.706.519;352.251.508;263.170.089;226.864.355;197.988.695;8.191;7.034;5.799;5.660;5.659;5.308
WILMAR INTERNATIONAL LIMITED;SG;1041;C1;2022;SG199904785Z;008427472;Food & Tobacco Manufacturing;Manufacture of oils and fats;Vegetable oil mills, except corn, cottonseed and soybean;Far East and Central Asia;60.401.970;58.718.446;51.019.976;47.045.144;45.712.934;40.932.573;73.856.343;66.070.441;50.867.787;42.918.118;44.683.374;43.836.856;64.770.130;55.533.407;43.299.611;37.474.575;39.652.478;39.385.977;100.000;100.000;100.000;90.000;90.000;90.000
TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.;TW;2611;U2;2022;TW22099131;006529453;Industrial, Electric & Electronic Machinery;Manufacture of electronic components;Semiconductors and related devices;Far East and Central Asia;4.422.419.064;3.378.495.145;2.733.505.113;2.275.476.072;2.075.461.008;1.939.389.391;2.253.208.519;1.575.535.691;1.315.002.898;1.059.646.793;1.023.925.713;969.136.109;557.565.308;402.261.503;336.930.856;330.989.187;275.187.897;254.764.703;61.777;54.193;47.917;44.058;43.228;43.139
LEGEND HOLDINGS CORPORATION;CN;6201;C1;2022;CN42658PC;048902705;Computer Software;Computer programming activities;Computer integrated systems design;Far East and Central Asia;681.074.168;680.686.174;651.732.771;624.075.194;558.266.891;335.073.741;484.468.264;490.473.104;418.254.494;389.821.817;359.667.443;324.793.925;387.461.317;394.285.369;338.650.589;312.857.188;297.720.840;263.996.200;102.187;88.000;84.000;87.000;75.000;59.457
KIA CORPORATION;KR;2910;U2;2022;KR1101110037998;007060443;Transport Manufacturing;Manufacture of motor vehicles;Manufacture of passenger motor vehicles;Far East and Central Asia;46.715.448.000;45.188.766.000;41.591.553.000;38.356.281.000;37.149.602.000;38.605.013.000;46.409.721.000;40.979.570.000;34.362.327.000;33.857.781.000;31.912.189.000;32.109.883.000;37.273.052.000;33.201.731.000;28.654.868.000;27.896.915.000;27.116.052.000;26.573.205.000;35.802;35.465;35.380;35.635;35.882;34.664
FLEX LIMITED;SG;2612;C1;2022;SG199002645H;006532750;Industrial, Electric & Electronic Machinery;Manufacture of loaded electronic boards;Printed circuit boards;Far East and Central Asia;21.395.000;19.325.000;15.836.000;13.689.617;13.499.367;13.715.855;30.346.000;26.266.000;24.191.000;24.209.870;26.210.511;25.610.850;27.667.000;23.700.000;22.015.000;22.449.507;24.259.323;23.410.817;172.108;170.000;160.000;160.000;200.000;200.000
TOP FRONTIER INVESTMENT HOLDINGS, INC.;PH;6420;C1;2022;PHCS200803939;172831545;Business Services;Activities of holding companies;Offices of holding companies, not elsewhere classified;Far East and Central Asia;2.543.623.000;2.163.430.000;2.025.544.000;1.931.177.000;1.791.192.000;1.496.799.000;1.573.585.000;976.258.000;760.234.000;1.050.287.000;1.025.167.000;847.431.000;1.244.876.000;707.480.000;541.544.000;782.282.000;789.253.000;613.096.000;50.496;45.662;45.578;44.079;28.651;24.596
PT ASTRA INTERNATIONAL TBK;ID;2910;C1;2022;IDFEB29263;050993240;Transport Manufacturing;Manufacture of motor vehicles;Motor vehicles and passenger car bodies;Far East and Central Asia;413.297.000.000;367.311.000.000;338.203.000.000;351.958.000.000;344.711.000.000;295.830.000.000;303.812.000.000;236.242.000.000;178.223.000.000;241.242.000.000;242.303.000.000;209.125.000.000;221.015.000.000;171.941.000.000;124.770.000.000;176.415.000.000;180.950.000.000;158.190.000.000;130.888;123.894;126.717;226.105;226.140;218.463
PETRON CORPORATION;PH;0910;C1;2022;PH0000031171;037507350;Mining & Extraction;Support activities for petroleum and natural gas extraction;Oil and gas field services, not elsewhere classified;Far East and Central Asia;460.071.000;407.420.000;349.725.000;394.835.000;358.154.000;338.030.000;859.176.000;439.330.000;287.080.000;515.869.000;562.014.000;434.638.000;816.709.000;402.459.000;272.518.000;475.425.000;514.547.000;383.926.000;2.957;2.665;2.709;2.902;3.131;3.131
WIPRO LIMITED;IN;6209;C*;2022;IN30183FI;006532533;Business Services;Other information technology and computer service activities;Computer related services, not elsewhere classified;Far East and Central Asia;1.175.822.000;1.079.182.000;831.434.000;817.062.000;833.171.000;760.640.000;904.876.000;790.934.000;619.430.000;610.232.000;585.845.000;544.871.000;630.277.000;541.480.000;403.140.000;418.762.000;398.462.000;369.101.000;250.000;240.000;200.000;175.000;170.000;160.000
PT ADARO ENERGY INDONESIA TBK;ID;0510;C1;2022;ID30459FD;065042987;Mining & Extraction;Mining of hard coal;Bituminous coal underground mining;Far East and Central Asia;10.782.307;7.586.936;6.381.566;7.217.105;7.060.755;6.814.147;8.102.399;3.999.898;2.558.538;3.457.154;3.619.751;3.267.209;2.923.267;1.736.476;1.497.378;2.076.750;2.017.343;1.744.616;12.320;9.711;9.665;10.988;10.259;8.842
PT UNITED TRACTORS TBK;ID;4663;C1;2022;ID30011FD;050993469;Wholesale;Wholesale of mining, construction and civil engineering machinery;Construction and mining (except petroleum) machinery and equipment wholesale dealing in;Far East and Central Asia;140.478.220.000;112.561.356.000;99.800.963.000;111.713.375.000;116.281.017.000;82.262.093.000;123.957.515.000;79.460.503.000;60.569.383.000;84.741.001.000;84.833.837.000;64.702.271.000;72.260.719.000;51.281.423.000;32.990.484.000;49.307.905.000;51.660.500.000;41.071.635.000;32.679;29.118;29.324;33.139;33.207;29.521
